Index,HF,AST,HTAG,AwayTeam,AR,HC,HTHG,AS,HS,HY,WHD,HST,AF,FTAG,AY,WHH,HTR,IWA,IWD,AC,FTR,IWH,HomeTeam,WHA,FTHG,Referee,Div,HR,Date,SeasonDate
101,11,5,0,Portsmouth,0,11,1,5,5,0,3.1,2,9,4,1,2.3,H,2.9,3,2,A,2.2,Sunderland,2.75,1,M Halsey,E0,0,29/10/05,2005
102,18,7,0,Arsenal,0,6,1,10,11,4,2.9,3,13,1,2,2.75,H,2.4,3,1,D,2.8,Tottenham,2.4,1,S Bennett,E0,0,29/10/05,2005
103,11,1,0,Fulham,0,6,0,7,12,1,3.1,6,7,0,1,1.9,D,3.5,3.1,3,H,1.9,Wigan,3.6,1,A Marriner,E0,0,29/10/05,2005
104,9,8,0,Newcastle,0,9,0,11,8,0,3.1,4,14,3,1,2.75,D,2.5,3,4,A,2.7,West Brom,2.3,0,H Webb,E0,0,30/10/05,2005
105,17,5,0,Aston Villa,0,2,2,11,13,1,3,5,10,1,1,1.83,H,4,3.1,6,H,1.85,Man City,4,3,D Gallagher,E0,0,31/10/05,2005
106,11,1,0,Sunderland,0,4,2,1,12,0,6,9,13,1,1,1.14,H,9,4.5,6,H,1.25,Arsenal,12,3,A Wiley,E0,0,05/11/05,2005
107,16,6,0,Liverpool,0,3,0,10,6,2,2.87,2,11,2,2,3,D,2.2,3,5,A,3.1,Aston Villa,2.25,0,S Bennett,E0,0,05/11/05,2005
108,9,9,1,Charlton,0,7,2,10,9,0,3.1,3,15,1,2,2.4,H,2.6,3,9,H,2.4,Blackburn,2.6,4,P Dowd,E0,0,05/11/05,2005
109,10,2,1,Man City,0,4,2,4,9,1,3.1,5,16,1,3,2.4,H,2.6,3,2,H,2.4,Fulham,2.6,2,R Styles,E0,0,05/11/05,2005
110,20,3,0,Birmingham,0,3,0,9,10,3,3.5,5,18,0,2,1.53,D,4.8,3.5,2,H,1.55,Newcastle,5.5,1,M Dean,E0,0,05/11/05,2005
111,11,5,0,Wigan,0,5,0,7,7,1,3.1,4,13,2,2,2.2,D,2.6,3,8,A,2.4,Portsmouth,2.87,0,M Clattenburg,E0,0,05/11/05,2005
112,15,6,0,West Brom,0,8,0,10,10,2,3.3,6,12,0,0,1.7,D,3.8,3.1,5,H,1.8,West Ham,4.33,1,P Walton,E0,0,05/11/05,2005
113,21,9,0,Middlesbrough,0,9,1,17,12,2,3.1,8,16,0,1,2.5,H,2.7,3,3,H,2.5,Everton,2.5,1,M Riley,E0,0,06/11/05,2005
114,19,11,0,Chelsea,0,5,1,21,10,3,3,5,14,0,4,3.1,H,2.3,3,9,H,3,Man United,2.15,1,G Poll,E0,0,06/11/05,2005
115,13,7,0,Tottenham,0,6,1,9,9,0,2.9,8,9,0,1,2.5,H,2.7,3,5,H,2.5,Bolton,2.62,1,H Webb,E0,0,07/11/05,2005
116,13,7,1,Man United,0,4,0,13,18,0,3.2,11,11,3,2,4.33,A,1.85,3.1,3,A,4,Charlton,1.72,1,M Riley,E0,0,19/11/05,2005
117,12,2,0,Newcastle,0,3,0,3,12,2,4,4,13,0,1,1.33,D,7,4,5,H,1.35,Chelsea,8,3,M Halsey,E0,0,19/11/05,2005
118,7,5,0,Portsmouth,0,7,2,7,15,1,3.75,11,8,0,1,1.36,H,6.5,4,6,H,1.4,Liverpool,8,3,P Walton,E0,0,19/11/05,2005
119,7,4,0,Blackburn,0,4,0,5,12,2,3.2,4,15,0,4,1.83,D,3.2,3.1,4,D,2,Man City,3.75,0,M Atkinson,E0,0,19/11/05,2005
120,10,11,0,Aston Villa,0,6,0,16,8,2,3.1,6,13,3,1,2.62,D,2.5,3,5,A,2.5,Sunderland,2.37,1,C Foy,E0,0,19/11/05,2005
121,11,6,0,Everton,0,4,1,11,11,0,2.9,8,9,0,0,2.62,H,2.7,3,8,H,2.3,West Brom,2.5,4,D Gallagher,E0,0,19/11/05,2005
122,16,8,3,Arsenal,0,2,2,13,11,3,3,5,17,3,3,4,A,1.9,3.1,2,A,3.7,Wigan,1.83,2,G Poll,E0,0,19/11/05,2005
123,9,6,1,Fulham,0,9,0,9,20,0,3,11,16,2,1,1.83,A,3.6,3.1,4,H,1.85,Middlesbrough,4,3,U Rennie,E0,0,20/11/05,2005
124,16,4,0,West Ham,0,9,1,8,15,3,3.3,8,13,1,1,1.61,H,4,3.2,7,D,1.75,Tottenham,5,1,A Wiley,E0,0,20/11/05,2005
125,9,9,0,Blackburn,0,9,2,15,13,1,4.5,10,15,0,2,1.28,H,8,4.2,10,H,1.3,Arsenal,8,3,C Foy,E0,0,26/11/05,2005
126,9,3,0,Charlton,0,10,0,5,16,2,3.1,10,12,0,2,2.2,D,3.1,3,3,H,2.1,Aston Villa,2.87,1,M Clattenburg,E0,0,26/11/05,2005
127,13,6,0,Liverpool,0,6,0,8,3,0,2.9,1,13,1,2,2.62,D,2.5,3,4,A,2.7,Man City,2.5,0,A Wiley,E0,0,26/11/05,2005
128,22,6,1,Chelsea,0,2,0,12,6,5,4.2,2,7,2,1,9,A,1.4,3.9,1,A,6.7,Portsmouth,1.28,0,P Dowd,E0,0,26/11/05,2005
129,7,7,0,Birmingham,0,6,0,10,4,0,3.1,3,10,1,0,2.62,D,2.6,3,2,A,2.4,Sunderland,2.37,0,U Rennie,E0,0,26/11/05,2005
130,14,5,1,Tottenham,0,6,0,7,11,0,3.1,3,17,2,2,2.5,A,2.8,3,5,A,2.4,Wigan,2.5,1,M Riley,E0,0,26/11/05,2005
131,19,10,0,Newcastle,0,12,0,16,14,1,3.1,9,19,0,5,2.62,D,2.5,3,8,H,2.5,Everton,2.37,1,H Webb,E0,0,27/11/05,2005
132,17,3,0,Bolton,0,3,2,5,10,2,3.1,7,18,1,7,2.4,H,2.7,3,6,H,2.3,Fulham,2.6,2,G Poll,E0,0,27/11/05,2005
133,15,6,1,West Brom,0,6,1,9,13,1,3.3,8,13,2,1,1.66,D,4.4,3.3,5,D,1.65,Middlesbrough,4.5,2,P Walton,E0,0,27/11/05,2005
134,15,10,0,Man United,0,4,1,16,10,2,3.3,3,7,2,3,4.5,H,1.75,3.2,5,A,4.3,West Ham,1.66,1,S Bennett,E0,0,27/11/05,2005
135,15,11,2,Liverpool,1,3,0,15,8,0,3.6,4,10,2,2,6.5,A,1.5,3.7,3,A,5,Sunderland,1.44,0,P Dowd,E0,0,30/11/05,2005
136,8,5,2,Everton,0,7,0,8,15,1,3.1,7,18,2,1,1.95,A,3.6,3.1,5,A,1.85,Blackburn,3.5,0,M Halsey,E0,1,03/12/05,2005
137,16,3,0,Arsenal,0,9,2,8,10,1,3.25,9,15,0,2,4.2,H,1.8,3.1,3,H,4.2,Bolton,1.72,2,H Webb,E0,0,03/12/05,2005
138,15,5,0,Middlesbrough,0,6,0,10,17,0,4.2,9,14,0,0,1.28,D,8.5,4.3,4,H,1.27,Chelsea,9,1,M Riley,E0,0,03/12/05,2005
139,16,6,0,Wigan,0,11,2,10,16,1,3.6,12,15,0,2,1.44,H,5.6,3.5,6,H,1.55,Liverpool,6.5,3,U Rennie,E0,0,03/12/05,2005
140,9,4,0,Portsmouth,0,11,1,8,19,0,5,12,16,0,1,1.22,H,8.5,4.3,4,H,1.27,Man United,9.5,3,C Foy,E0,0,03/12/05,2005
141,17,6,0,Aston Villa,0,6,1,9,8,1,3.3,2,15,1,2,1.66,H,3.8,3.1,4,D,1.8,Newcastle,4.5,1,A Wiley,E0,0,03/12/05,2005
