,HTAG,HF,FTR,FTAG,AY,AR,HST,HS,Date,AC,AF,HR,FTHG,IWA,HC,AwayTeam,HTHG,IWD,Div,WHH,WHD,IWH,AS,HTR,HY,WHA,AST,Referee,HomeTeam,SeasonDate
132,0,17,H,1,7,0,7,10,27/11/05,6,18,0,2,2.7,3,Bolton,2,3,E0,2.4,3.1,2.3,5,H,2,2.6,3,G Poll,Fulham,2005
133,1,15,D,2,1,0,8,13,27/11/05,5,13,0,2,4.4,6,West Brom,1,3.3,E0,1.66,3.3,1.65,9,D,1,4.5,6,P Walton,Middlesbrough,2005
134,0,15,A,2,3,0,3,10,27/11/05,5,7,0,1,1.75,4,Man United,1,3.2,E0,4.5,3.3,4.3,16,H,2,1.66,10,S Bennett,West Ham,2005
135,2,15,A,2,2,1,4,8,30/11/05,3,10,0,0,1.5,3,Liverpool,0,3.7,E0,6.5,3.6,5,15,A,0,1.44,11,P Dowd,Sunderland,2005
136,2,8,A,2,1,0,7,15,03/12/05,5,18,1,0,3.6,7,Everton,0,3.1,E0,1.95,3.1,1.85,8,A,1,3.5,5,M Halsey,Blackburn,2005
137,0,16,H,0,2,0,9,10,03/12/05,3,15,0,2,1.8,9,Arsenal,2,3.1,E0,4.2,3.25,4.2,8,H,1,1.72,3,H Webb,Bolton,2005
138,0,15,H,0,0,0,9,17,03/12/05,4,14,0,1,8.5,6,Middlesbrough,0,4.3,E0,1.28,4.2,1.27,10,D,0,9,5,M Riley,Chelsea,2005
139,0,16,H,0,2,0,12,16,03/12/05,6,15,0,3,5.6,11,Wigan,2,3.5,E0,1.44,3.6,1.55,10,H,1,6.5,6,U Rennie,Liverpool,2005
140,0,9,H,0,1,0,12,19,03/12/05,4,16,0,3,8.5,11,Portsmouth,1,4.3,E0,1.22,5,1.27,8,H,0,9.5,4,C Foy,Man United,2005
141,0,17,D,1,2,0,2,8,03/12/05,4,15,0,1,3.8,6,Aston Villa,1,3.1,E0,1.66,3.3,1.8,9,H,1,4.5,6,A Wiley,Newcastle,2005
142,1,8,H,2,2,0,8,14,03/12/05,0,19,0,3,7.5,12,Sunderland,1,4.2,E0,1.3,4.33,1.35,5,D,0,8,2,P Walton,Tottenham,2005
143,0,8,D,0,3,1,4,5,03/12/05,3,15,0,0,2.7,1,Fulham,0,3,E0,2.37,3.1,2.3,8,D,1,2.62,1,S Bennett,West Brom,2005
